source,source_id,school_name,normalised_school_name,school_code,suburb,country,state,postcode,type,sector,latitude,longitude,is_sehs,selectivity_type,entry_year_levels,test_provider,test_name,offers_medicine,offers_dentistry
ACARA,48096,A B Paterson College,A B Paterson College,,Arundel,Australia,QLD,4214,Combined,Private,-27.9277,153.36,FALSE,,,,,FALSE,FALSE
ACARA,44003,A.G.B.U. Alexander Primary School,A.G.B.U. Alexander Primary School,,Duffys Forest,Australia,NSW,2084,Primary,Private,-33.67679,151.18715,FALSE,,,,,FALSE,FALSE
ACARA,44370,Abbotsford Primary School,Abbotsford Primary School,,Abbotsford,Australia,VIC,3067,Primary,Public,-37.8091,144.999,FALSE,,,,,FALSE,FALSE
ACARA,40987,Abbotsford Public School,Abbotsford Public School,,Abbotsford,Australia,NSW,2046,Primary,Public,-33.8527,151.131,FALSE,,,,,FALSE,FALSE
ACARA,43762,Abbotsleigh,Abbotsleigh,,Wahroonga,Australia,NSW,2076,Combined,Private,-33.7199,151.111,FALSE,,,,,FALSE,FALSE
ACARA,52056,Abbotsleigh Junior School,Abbotsleigh Junior School,,Wahroonga,Australia,NSW,2076,Primary,Private,-33.7162,151.113,FALSE,,,,,FALSE,FALSE
ACARA,46801,Abercorn State School,Abercorn State School,,Abercorn,Australia,QLD,4627,Primary,Public,-25.136,151.127,FALSE,,,,,FALSE,FALSE
ACARA,41852,Aberdeen Public School,Aberdeen Public School,,Aberdeen,Australia,NSW,2336,Primary,Public,-32.1661,150.888,FALSE,,,,,FALSE,FALSE
ACARA,44727,Aberfeldie Primary School,Aberfeldie Primary School,,Essendon,Australia,VIC,3040,Primary,Public,-37.7566,144.896,FALSE,,,,,FALSE,FALSE
ACARA,49360,Aberfoyle Hub Primary School,Aberfoyle Hub Primary School,,Aberfoyle Park,Australia,SA,5159,Primary,Public,-35.0781,138.595,FALSE,,,,,FALSE,FALSE
ACARA,49663,Aberfoyle Park High School,Aberfoyle Park High School,,Aberfoyle Park,Australia,SA,5159,Secondary,Public,-35.0732,138.595,FALSE,program_only,7,ACER,HAST,FALSE,FALSE
ACARA,47089,Abergowrie State School,Abergowrie State School,,Abergowrie,Australia,QLD,4850,Primary,Public,-18.4748,145.884,FALSE,,,,,FALSE,FALSE
ACARA,41853,Abermain Public School,Abermain Public School,,Abermain,Australia,NSW,2326,Primary,Public,-32.8089,151.426,FALSE,,,,,FALSE,FALSE
ACARA,48059,Aboriginal & Islander Independent Community School,Aboriginal & Islander Independent Community School,,Acacia Ridge,Australia,QLD,4110,Combined,Private,-27.5812,153.026,FALSE,,,,,FALSE,FALSE
ACARA,50072,Acacia Hill School,Acacia Hill School,,Sadadeen,Australia,NT,0871,Special,Public,-23.7007,133.898,FALSE,,,,,FALSE,FALSE
ACARA,46412,Acacia Ridge State School,Acacia Ridge State School,,Acacia Ridge,Australia,QLD,4110,Primary,Public,-27.5796,153.016,FALSE,,,,,FALSE,FALSE
ACARA,45704,Academy of Mary Immaculate,Academy of Mary Immaculate,,Fitzroy,Australia,VIC,3065,Secondary,Private,-37.8037,144.974,FALSE,,,,,FALSE,FALSE
ACARA,43714,Accelerate Christian Academy - Bourke,Accelerate Christian Academy - Bourke,,Bourke,Australia,NSW,2840,Combined,Private,-30.08175207,145.953958,FALSE,,,,,FALSE,FALSE
